application_id;pd;initinal_payment;delay
1;0.054;0.29;0
2;0.138;0.183;0
3;0.135;0.244;0
4;0.042;0.271;0
5;0.058;0.174;0
6;0.115;0.161;0
7;0.033;0.378;0
8;0.053;0.201;0
9;0.051;0.218;0
10;0.13;0.225;0
11;0.075;0.194;0
12;0.047;0.268;0
13;0.095;0.224;0
14;0.029;0.124;0
15;0.084;0.31;0
16;0.101;0.19;0
17;0.126;0.155;0
18;0.051;0.303;0
19;0.076;0.126;0
20;0.061;0.111;0
21;0.025;0.371;0
22;0.069;0.132;1
23;0.029;0.2;0
24;0.074;0.291;0
25;0.037;0.373;0
26;0.064;0.192;0
27;0.066;0.191;0
28;0.046;0.288;0
29;0.017;0.201;0
30;0.046;0.253;0
31;0.03;0.274;0
32;0.049;0.247;0
33;0.055;0.089;0
34;0.172;0.175;0
35;0.051;0.209;0
36;0.038;0.192;0
37;0.084;0.232;0
38;0.174;0.127;0
39;0.024;0.224;0
40;0.144;0.142;0
41;0.057;0.168;0
42;0.049;0.207;0
43;0.061;0.077;0
44;0.13;0.155;0
45;0.054;0.288;0
46;0.041;0.333;0
47;0.046;0.205;0
48;0.025;0.329;0
49;0.021;0.317;0
50;0.044;0.254;0
51;0.053;0.117;0
52;0.118;0.231;0
53;0.12;0.167;0
54;0.036;0.21;0
55;0.045;0.313;0
56;0.058;0.12;0
57;0.119;0.225;0
58;0.044;0.241;0
59;0.134;0.207;0
60;0.071;0.278;0
61;0.049;0.18;0
62;0.05;0.255;0
63;0.081;0.208;0
64;0.101;0.162;0
65;0.03;0.283;0
66;0.02;0.305;0
67;0.041;0.197;0
68;0.045;0.217;0
69;0.02;0.022;0
70;0.057;0.182;0
71;0.079;0.296;0
72;0.034;0.216;0
73;0.032;0.245;0
74;0.044;0.155;0
75;0.054;0.117;0
76;0.071;0.368;0
77;0.023;0.197;0
78;0.088;0.195;0
79;0.068;0.281;0
80;0.038;0.34;0
81;0.121;0.342;0
82;0.078;0.044;0
83;0.04;0.318;0
84;0.056;0.17;0
85;0.028;0.284;0
86;0.056;0.18;0
87;0.055;0.262;0
88;0.082;0.117;0
89;0.046;0.29;0
90;0.051;0.291;0
91;0.101;0.354;0
92;0.034;0.339;0
93;0.02;0.353;0
94;0.037;0.299;0
95;0.095;0.15;0
96;0.101;0.133;0
97;0.035;0.373;0
